(26.5, 0, 9.2)
(26.5, 0, 15.6)
(26.5, 0, 22)
(26.5, 0, 28.4)
(26.5, 0, 34.8)

(26.5, 10, 9.2)
(26.5, 10, 15.6)
(26.5, 10, 22)
(26.5, 10, 28.4)
(26.5, 10, 34.8)

(26.5, 20, 9.2)
(26.5, 20, 15.6)
(26.5, 20, 22)
(26.5, 20, 28.4)
(26.5, 20, 34.8)

(26.5, 30, 9.2)
(26.5, 30, 15.6)
(26.5, 30, 22)
(26.5, 30, 28.4)
(26.5, 30, 34.8)

(26.5, 40, 9.2)
(26.5, 40, 15.6)
(26.5, 40, 22)
(26.5, 40, 28.4)
(26.5, 40, 34.8)

(26.5, 50, 9.2)
(26.5, 50, 15.6)
(26.5, 50, 22)
(26.5, 50, 28.4)
(26.5, 50, 34.8)

(26.5, 60, 9.2)
(26.5, 60, 15.6)
(26.5, 60, 22)
(26.5, 60, 28.4)
(26.5, 60, 34.8)

(26.5, 70, 9.2)
(26.5, 70, 15.6)
(26.5, 70, 22)
(26.5, 70, 28.4)
(26.5, 70, 34.8)

(26.5, 80, 9.2)
(26.5, 80, 15.6)
(26.5, 80, 22)
(26.5, 80, 28.4)
(26.5, 80, 34.8)

(26.5, 90, 9.2)
(26.5, 90, 15.6)
(26.5, 90, 22)
(26.5, 90, 28.4)
(26.5, 90, 34.8)

(26.5, 100, 9.2)
(26.5, 100, 15.6)
(26.5, 100, 22)
(26.5, 100, 28.4)
(26.5, 100, 34.8)

(26.5, 110, 9.2)
(26.5, 110, 15.6)
(26.5, 110, 22)
(26.5, 110, 28.4)
(26.5, 110, 34.8)

(26.5, 120, 9.2)
(26.5, 120, 15.6)
(26.5, 120, 22)
(26.5, 120, 28.4)
(26.5, 120, 34.8)

(26.5, 130, 9.2)
(26.5, 130, 15.6)
(26.5, 130, 22)
(26.5, 130, 28.4)
(26.5, 130, 34.8)

(26.5, 140, 9.2)
(26.5, 140, 15.6)
(26.5, 140, 22)
(26.5, 140, 28.4)
(26.5, 140, 34.8)

(26.5, 150, 9.2)
(26.5, 150, 15.6)
(26.5, 150, 22)
(26.5, 150, 28.4)
(26.5, 150, 34.8)

(26.5, 160, 9.2)
(26.5, 160, 15.6)
(26.5, 160, 22)
(26.5, 160, 28.4)
(26.5, 160, 34.8)

(26.5, 170, 9.2)
(26.5, 170, 15.6)
(26.5, 170, 22)
(26.5, 170, 28.4)
(26.5, 170, 34.8)

(26.5, 180, 9.2)
(26.5, 180, 15.6)
(26.5, 180, 22)
(26.5, 180, 28.4)
(26.5, 180, 34.8)

(26.5, 190, 9.2)
(26.5, 190, 15.6)
(26.5, 190, 22)
(26.5, 190, 28.4)
(26.5, 190, 34.8)

(26.5, 200, 9.2)
(26.5, 200, 15.6)
(26.5, 200, 22)
(26.5, 200, 28.4)
(26.5, 200, 34.8)

(26.5, 210, 9.2)
(26.5, 210, 15.6)
(26.5, 210, 22)
(26.5, 210, 28.4)
(26.5, 210, 34.8)

(26.5, 220, 9.2)
(26.5, 220, 15.6)
(26.5, 220, 22)
(26.5, 220, 28.4)
(26.5, 220, 34.8)

(26.5, 230, 9.2)
(26.5, 230, 15.6)
(26.5, 230, 22)
(26.5, 230, 28.4)
(26.5, 230, 34.8)

(26.5, 240, 9.2)
(26.5, 240, 15.6)
(26.5, 240, 22)
(26.5, 240, 28.4)
(26.5, 240, 34.8)

(26.5, 250, 9.2)
(26.5, 250, 15.6)
(26.5, 250, 22)
(26.5, 250, 28.4)
(26.5, 250, 34.8)

(26.5, 26.50, 9.2)
(26.5, 26.50, 15.6)
(26.5, 26.50, 22)
(26.5, 26.50, 28.4)
(26.5, 26.50, 34.8)

(26.5, 270, 9.2)
(26.5, 270, 15.6)
(26.5, 270, 22)
(26.5, 270, 28.4)
(26.5, 270, 34.8)

(26.5, 280, 9.2)
(26.5, 280, 15.6)
(26.5, 280, 22)
(26.5, 280, 28.4)
(26.5, 280, 34.8)

(26.5, 290, 9.2)
(26.5, 290, 15.6)
(26.5, 290, 22)
(26.5, 290, 28.4)
(26.5, 290, 34.8)

(26.5, 300, 9.2)
(26.5, 300, 15.6)
(26.5, 300, 22)
(26.5, 300, 28.4)
(26.5, 300, 34.8)

(26.5, 310, 9.2)
(26.5, 310, 15.6)
(26.5, 310, 22)
(26.5, 310, 28.4)
(26.5, 310, 34.8)

(26.5, 320, 9.2)
(26.5, 320, 15.6)
(26.5, 320, 22)
(26.5, 320, 28.4)
(26.5, 320, 34.8)

(26.5, 330, 9.2)
(26.5, 330, 15.6)
(26.5, 330, 22)
(26.5, 330, 28.4)
(26.5, 330, 34.8)

(26.5, 340, 9.2)
(26.5, 340, 15.6)
(26.5, 340, 22)
(26.5, 340, 28.4)
(26.5, 340, 34.8)

(26.5, 350, 9.2)
(26.5, 350, 15.6)
(26.5, 350, 22)
(26.5, 350, 28.4)
(26.5, 350, 34.8)

