Column1;Column2;Column3;Column4;Column5;;;
Fecha y Hora;45992,58167;;;;;;
X;Y;Z;Gauss;mT;;;X
225.0;37.5;-525.0;-430.23;;;;
262.5;37.5;-525.0;-442.18;;;;
262.5;75.0;-525.0;-450.94;;;;
225.0;75.0;-525.0;-438.55;;;;
187.5;75.0;-525.0;-428.75;;;;
150.0;75.0;-525.0;-421.53;;;;
112.5;75.0;-525.0;-416.51;;;;
75.0;75.0;-525.0;-413.22;;;;
37.5;75.0;-525.0;-411.63;;;;
0.0;75.0;-525.0;-411.69;;;;
-37.5;75.0;-525.0;-413.52;;;;
-75.0;75.0;-525.0;-417.18;;;;
-112.5;75.0;-525.0;-422.85;;;;
-150.0;75.0;-525.0;-430.98;;;;
-187.5;75.0;-525.0;-441.7;;;;
-225.0;75.0;-525.0;-455.9;;;;
-262.5;75.0;-525.0;-475.06;;;;
-262.5;112.5;-525.0;-494.66;;;;
-225.0;112.5;-525.0;-472.77;;;;
-187.5;112.5;-525.0;-456.07;;;;
-150.0;112.5;-525.0;-443.65;;;;
-112.5;112.5;-525.0;-434.15;;;;
-75.0;112.5;-525.0;-427.36;;;;
-37.5;112.5;-525.0;-422.98;;;;
0.0;112.5;-525.0;-420.69;;;;
37.5;112.5;-525.0;-420.52;;;;
75.0;112.5;-525.0;-422.21;;;;
112.5;112.5;-525.0;-425.8;;;;
150.0;112.5;-525.0;-431.39;;;;
187.5;112.5;-525.0;-439.4;;;;
225.0;112.5;-525.0;-450.12;;;;
262.5;112.5;-525.0;-464.52;;;;
262.5;150.0;-525.0;-484.13;;;;
225.0;150.0;-525.0;-467.97;;;;
187.5;150.0;-525.0;-455.14;;;;
150.0;150.0;-525.0;-445.75;;;;
112.5;150.0;-525.0;-438.96;;;;
75.0;150.0;-525.0;-434.76;;;;
37.5;150.0;-525.0;-432.8;;;;
0.0;150.0;-525.0;-433.15;;;;
-37.5;150.0;-525.0;-435.96;;;;
-75.0;150.0;-525.0;-441.34;;;;
-112.5;150.0;-525.0;-449.65;;;;
-150.0;150.0;-525.0;-460.99;;;;
-187.5;150.0;-525.0;-476.2;;;;
-225.0;150.0;-525.0;-495.98;;;;
-262.5;150.0;-525.0;-522.76;;;;
-262.5;187.5;-525.0;-564.38;;;;
-225.0;187.5;-525.0;-530.91;;;;
-187.5;187.5;-525.0;-505.63;;;;
-150.0;187.5;-525.0;-486.56;;;;
-112.5;187.5;-525.0;-471.94;;;;
-75.0;187.5;-525.0;-461.26;;;;
-37.5;187.5;-525.0;-454.31;;;;
0.0;187.5;-525.0;-450.48;;;;
37.5;187.5;-525.0;-449.72;;;;
75.0;187.5;-525.0;-452.1;;;;
112.5;187.5;-525.0;-457.29;;;;
150.0;187.5;-525.0;-465.32;;;;
187.5;187.5;-525.0;-476.73;;;;
225.0;187.5;-525.0;-492.01;;;;
262.5;187.5;-525.0;-512.61;;;;
262.5;225.0;-525.0;-553.93;;;;
225.0;225.0;-525.0;-528.63;;;;
187.5;225.0;-525.0;-508.77;;;;
150.0;225.0;-525.0;-494.17;;;;
112.5;225.0;-525.0;-483.31;;;;
75.0;225.0;-525.0;-476.33;;;;
37.5;225.0;-525.0;-473.19;;;;
0.0;225.0;-525.0;-474.26;;;;
-37.5;225.0;-525.0;-479.74;;;;
-75.0;225.0;-525.0;-489.53;;;;
-112.5;225.0;-525.0;-503.61;;;;
-150.0;225.0;-525.0;-522.67;;;;
-187.5;225.0;-525.0;-547.72;;;;
-225.0;225.0;-525.0;-580.79;;;;
-262.5;225.0;-525.0;-625.5;;;;
-262.5;262.5;-525.0;-715.79;;;;
-225.0;262.5;-525.0;-655.04;;;;
-187.5;262.5;-525.0;-610.27;;;;
-150.0;262.5;-525.0;-576.51;;;;
-112.5;262.5;-525.0;-550.5;;;;
-75.0;262.5;-525.0;-530.71;;;;
-37.5;262.5;-525.0;-516.3;;;;
0.0;262.5;-525.0;-507.9;;;;
37.5;262.5;-525.0;-505.8;;;;
75.0;262.5;-525.0;-510.2;;;;
112.5;262.5;-525.0;-520.13;;;;
150.0;262.5;-525.0;-534.98;;;;
187.5;262.5;-525.0;-554.27;;;;
225.0;262.5;-525.0;-580.01;;;;
262.5;262.5;-525.0;-614.66;;;;
0;0;0;-454.32;;;;
262.5;262.5;-475.0;-626.88;;;;
225.0;262.5;-475.0;-596.29;;;;
187.5;262.5;-475.0;-573.15;;;;
150.0;262.5;-475.0;-555.62;;;;
112.5;262.5;-475.0;-542.51;;;;
75.0;262.5;-475.0;-533.76;;;;
37.5;262.5;-475.0;-530.64;;;;
0.0;262.5;-475.0;-534.02;;;;
-37.5;262.5;-475.0;-543.9;;;;
-75.0;262.5;-475.0;-559.7;;;;
-112.5;262.5;-475.0;-581.73;;;;
-150.0;262.5;-475.0;-611.91;;;;
-187.5;262.5;-475.0;-652.03;;;;
-225.0;262.5;-475.0;-709.85;;;;
-262.5;262.5;-475.0;-793.62;;;;
-262.5;225.0;-475.0;-677.05;;;;
-225.0;225.0;-475.0;-621.48;;;;
-187.5;225.0;-475.0;-581.97;;;;
-150.0;225.0;-475.0;-553.82;;;;
-112.5;225.0;-475.0;-533.06;;;;
-75.0;225.0;-475.0;-517.73;;;;
-37.5;225.0;-475.0;-507.07;;;;
0.0;225.0;-475.0;-500.78;;;;
37.5;225.0;-475.0;-498.77;;;;
75.0;225.0;-475.0;-500.92;;;;
112.5;225.0;-475.0;-506.77;;;;
150.0;225.0;-475.0;-515.99;;;;
187.5;225.0;-475.0;-528.79;;;;
225.0;225.0;-475.0;-545.72;;;;
262.5;225.0;-475.0;-569.05;;;;
262.5;187.5;-475.0;-530.02;;;;
225.0;187.5;-475.0;-512.45;;;;
187.5;187.5;-475.0;-498.96;;;;
150.0;187.5;-475.0;-488.94;;;;
112.5;187.5;-475.0;-481.85;;;;
75.0;187.5;-475.0;-477.37;;;;
37.5;187.5;-475.0;-475.64;;;;
0.0;187.5;-475.0;-476.93;;;;
-37.5;187.5;-475.0;-481.2;;;;
-75.0;187.5;-475.0;-488.66;;;;
-112.5;187.5;-475.0;-499.81;;;;
-150.0;187.5;-475.0;-514.93;;;;
-187.5;187.5;-475.0;-535.53;;;;
-225.0;187.5;-475.0;-563.51;;;;
-262.5;187.5;-475.0;-602.93;;;;
-262.5;150.0;-475.0;-555.31;;;;
-225.0;150.0;-475.0;-525.91;;;;
-187.5;150.0;-475.0;-504.68;;;;
-150.0;150.0;-475.0;-488.72;;;;
-112.5;150.0;-475.0;-477.01;;;;
-75.0;150.0;-475.0;-468.53;;;;
